old_split	source	source_split	image	label	instances	source_image
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_0367_jpg.rf.a308c36a0026e2d5d06b1a9d8fce4d67.jpg	roboflow_team128_v5_IMG_0367_jpg.rf.a308c36a0026e2d5d06b1a9d8fce4d67.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_0367_jpg.rf.a308c36a0026e2d5d06b1a9d8fce4d67.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0381_jpg.rf.35562055fa1d2e5a5687cc89edfd0e10.jpg	roboflow_team128_v5_IMG_0381_jpg.rf.35562055fa1d2e5a5687cc89edfd0e10.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0381_jpg.rf.35562055fa1d2e5a5687cc89edfd0e10.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0493_jpg.rf.b122be104e0269593056d274321eb9f5.jpg	roboflow_team128_v5_IMG_0493_jpg.rf.b122be104e0269593056d274321eb9f5.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0493_jpg.rf.b122be104e0269593056d274321eb9f5.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0532_jpg.rf.01a31a39d1ce7fdaa092f3bce3d53caf.jpg	roboflow_team128_v5_IMG_0532_jpg.rf.01a31a39d1ce7fdaa092f3bce3d53caf.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0532_jpg.rf.01a31a39d1ce7fdaa092f3bce3d53caf.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0558_jpg.rf.2fe5851f8a71a8b26e17c8b83ad446f4.jpg	roboflow_team128_v5_IMG_0558_jpg.rf.2fe5851f8a71a8b26e17c8b83ad446f4.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0558_jpg.rf.2fe5851f8a71a8b26e17c8b83ad446f4.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_0572_jpg.rf.5ce632021766d664bdff4de1d626df53.jpg	roboflow_team128_v5_IMG_0572_jpg.rf.5ce632021766d664bdff4de1d626df53.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_0572_jpg.rf.5ce632021766d664bdff4de1d626df53.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_0573_jpg.rf.e94350893da0f79e970fac45ce5863c9.jpg	roboflow_team128_v5_IMG_0573_jpg.rf.e94350893da0f79e970fac45ce5863c9.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_0573_jpg.rf.e94350893da0f79e970fac45ce5863c9.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0574_jpg.rf.a9dcfbea14ded30f79b770ea3e14ee19.jpg	roboflow_team128_v5_IMG_0574_jpg.rf.a9dcfbea14ded30f79b770ea3e14ee19.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0574_jpg.rf.a9dcfbea14ded30f79b770ea3e14ee19.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0578_jpg.rf.72f11d31c44ca177e44c4e0b9150732b.jpg	roboflow_team128_v5_IMG_0578_jpg.rf.72f11d31c44ca177e44c4e0b9150732b.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0578_jpg.rf.72f11d31c44ca177e44c4e0b9150732b.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_0579_jpg.rf.81b247631edf2206d69b2063d7fde01c.jpg	roboflow_team128_v5_IMG_0579_jpg.rf.81b247631edf2206d69b2063d7fde01c.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_0579_jpg.rf.81b247631edf2206d69b2063d7fde01c.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0586_jpg.rf.d829a4c0b3df1e0a9495a2d1536dc8a4.jpg	roboflow_team128_v5_IMG_0586_jpg.rf.d829a4c0b3df1e0a9495a2d1536dc8a4.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0586_jpg.rf.d829a4c0b3df1e0a9495a2d1536dc8a4.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_0594_jpg.rf.c01621a3134f7c2400e6a4419497a135.jpg	roboflow_team128_v5_IMG_0594_jpg.rf.c01621a3134f7c2400e6a4419497a135.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_0594_jpg.rf.c01621a3134f7c2400e6a4419497a135.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_0599_jpg.rf.c214bfbc03c53517711382b4eecdb1ca.jpg	roboflow_team128_v5_IMG_0599_jpg.rf.c214bfbc03c53517711382b4eecdb1ca.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_0599_jpg.rf.c214bfbc03c53517711382b4eecdb1ca.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0600_jpg.rf.d907225c00156700561452accfb7a6e7.jpg	roboflow_team128_v5_IMG_0600_jpg.rf.d907225c00156700561452accfb7a6e7.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0600_jpg.rf.d907225c00156700561452accfb7a6e7.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_0633_jpg.rf.a677d2658d64afc0402f88ed69839c3d.jpg	roboflow_team128_v5_IMG_0633_jpg.rf.a677d2658d64afc0402f88ed69839c3d.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_0633_jpg.rf.a677d2658d64afc0402f88ed69839c3d.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0666_jpg.rf.4666877c7d5db73cb7b1fc88d82b59f2.jpg	roboflow_team128_v5_IMG_0666_jpg.rf.4666877c7d5db73cb7b1fc88d82b59f2.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0666_jpg.rf.4666877c7d5db73cb7b1fc88d82b59f2.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_0698_jpg.rf.f0aa57ebbd479324f001f1db2c57f40d.jpg	roboflow_team128_v5_IMG_0698_jpg.rf.f0aa57ebbd479324f001f1db2c57f40d.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_0698_jpg.rf.f0aa57ebbd479324f001f1db2c57f40d.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_1966_jpg.rf.964648f92662130667312bf24da80260.jpg	roboflow_team128_v5_IMG_1966_jpg.rf.964648f92662130667312bf24da80260.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_1966_jpg.rf.964648f92662130667312bf24da80260.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1967_jpg.rf.7c1ef6fb24feceb53f2d4db3b7c1398a.jpg	roboflow_team128_v5_IMG_1967_jpg.rf.7c1ef6fb24feceb53f2d4db3b7c1398a.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1967_jpg.rf.7c1ef6fb24feceb53f2d4db3b7c1398a.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1968_jpg.rf.7f09c92451aafb95f37da819450d2df9.jpg	roboflow_team128_v5_IMG_1968_jpg.rf.7f09c92451aafb95f37da819450d2df9.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1968_jpg.rf.7f09c92451aafb95f37da819450d2df9.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1969_jpg.rf.2396c92fc4b4fe266aaa9d4c2224b241.jpg	roboflow_team128_v5_IMG_1969_jpg.rf.2396c92fc4b4fe266aaa9d4c2224b241.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1969_jpg.rf.2396c92fc4b4fe266aaa9d4c2224b241.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1971_jpg.rf.20a278d992b557565a8293c370b337c5.jpg	roboflow_team128_v5_IMG_1971_jpg.rf.20a278d992b557565a8293c370b337c5.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1971_jpg.rf.20a278d992b557565a8293c370b337c5.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1972_jpg.rf.0bf9e2d075991c4a3daf95123ba8aaa1.jpg	roboflow_team128_v5_IMG_1972_jpg.rf.0bf9e2d075991c4a3daf95123ba8aaa1.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1972_jpg.rf.0bf9e2d075991c4a3daf95123ba8aaa1.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1973_jpg.rf.24477c0459f898ab116b8f3cdbd02cb7.jpg	roboflow_team128_v5_IMG_1973_jpg.rf.24477c0459f898ab116b8f3cdbd02cb7.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1973_jpg.rf.24477c0459f898ab116b8f3cdbd02cb7.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1975_jpg.rf.21abce19dbd9afb202a05737a46c5b13.jpg	roboflow_team128_v5_IMG_1975_jpg.rf.21abce19dbd9afb202a05737a46c5b13.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1975_jpg.rf.21abce19dbd9afb202a05737a46c5b13.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1976_jpg.rf.f435c3799a665a68beee1a60085f4ca4.jpg	roboflow_team128_v5_IMG_1976_jpg.rf.f435c3799a665a68beee1a60085f4ca4.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1976_jpg.rf.f435c3799a665a68beee1a60085f4ca4.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1978_jpg.rf.f995e67b39e35505bb8a2a289b3a49ce.jpg	roboflow_team128_v5_IMG_1978_jpg.rf.f995e67b39e35505bb8a2a289b3a49ce.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1978_jpg.rf.f995e67b39e35505bb8a2a289b3a49ce.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_1979_jpg.rf.1bbb0071f4e257ecea100ff3a9059d06.jpg	roboflow_team128_v5_IMG_1979_jpg.rf.1bbb0071f4e257ecea100ff3a9059d06.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_1979_jpg.rf.1bbb0071f4e257ecea100ff3a9059d06.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1980_jpg.rf.b835982a7fdc1687bfa3e33dbf3fd185.jpg	roboflow_team128_v5_IMG_1980_jpg.rf.b835982a7fdc1687bfa3e33dbf3fd185.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1980_jpg.rf.b835982a7fdc1687bfa3e33dbf3fd185.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_1981_jpg.rf.2f5611ea4eab70579a666ec02241b5ef.jpg	roboflow_team128_v5_IMG_1981_jpg.rf.2f5611ea4eab70579a666ec02241b5ef.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_1981_jpg.rf.2f5611ea4eab70579a666ec02241b5ef.jpg
train	roboflow_team128_v5	test	roboflow_team128_v5_IMG_1982_jpg.rf.06fdef8010b5666b4da60e4eb664775e.jpg	roboflow_team128_v5_IMG_1982_jpg.rf.06fdef8010b5666b4da60e4eb664775e.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_1982_jpg.rf.06fdef8010b5666b4da60e4eb664775e.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1984_jpg.rf.c37a8caf8c6c4ebd5995105173c8ada8.jpg	roboflow_team128_v5_IMG_1984_jpg.rf.c37a8caf8c6c4ebd5995105173c8ada8.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1984_jpg.rf.c37a8caf8c6c4ebd5995105173c8ada8.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1985_jpg.rf.7f7803a1764a4098aca3f022254d1ef9.jpg	roboflow_team128_v5_IMG_1985_jpg.rf.7f7803a1764a4098aca3f022254d1ef9.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1985_jpg.rf.7f7803a1764a4098aca3f022254d1ef9.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1986_jpg.rf.784a085160e744f54ba178b81883248d.jpg	roboflow_team128_v5_IMG_1986_jpg.rf.784a085160e744f54ba178b81883248d.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1986_jpg.rf.784a085160e744f54ba178b81883248d.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1988_jpg.rf.8ec37bf4efb26cbb070ac8af85e61722.jpg	roboflow_team128_v5_IMG_1988_jpg.rf.8ec37bf4efb26cbb070ac8af85e61722.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1988_jpg.rf.8ec37bf4efb26cbb070ac8af85e61722.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1989_jpg.rf.f52d62b07f632176bb192a37d5e1a42c.jpg	roboflow_team128_v5_IMG_1989_jpg.rf.f52d62b07f632176bb192a37d5e1a42c.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1989_jpg.rf.f52d62b07f632176bb192a37d5e1a42c.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1990_jpg.rf.cde4a759fc79e42df0d48f22a2ecfd8c.jpg	roboflow_team128_v5_IMG_1990_jpg.rf.cde4a759fc79e42df0d48f22a2ecfd8c.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1990_jpg.rf.cde4a759fc79e42df0d48f22a2ecfd8c.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1991_jpg.rf.3a38ac48df55f4bc6f5e7d93a1736c15.jpg	roboflow_team128_v5_IMG_1991_jpg.rf.3a38ac48df55f4bc6f5e7d93a1736c15.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1991_jpg.rf.3a38ac48df55f4bc6f5e7d93a1736c15.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1993_jpg.rf.7e189aa4b6c279ee1ac7c26f5bd4a1ac.jpg	roboflow_team128_v5_IMG_1993_jpg.rf.7e189aa4b6c279ee1ac7c26f5bd4a1ac.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1993_jpg.rf.7e189aa4b6c279ee1ac7c26f5bd4a1ac.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1994_jpg.rf.fdb9360e41e23b22c9be9c90ab630be0.jpg	roboflow_team128_v5_IMG_1994_jpg.rf.fdb9360e41e23b22c9be9c90ab630be0.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1994_jpg.rf.fdb9360e41e23b22c9be9c90ab630be0.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1995_jpg.rf.879cc3926ea0074cc8e7f318f5ec433a.jpg	roboflow_team128_v5_IMG_1995_jpg.rf.879cc3926ea0074cc8e7f318f5ec433a.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1995_jpg.rf.879cc3926ea0074cc8e7f318f5ec433a.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1996_jpg.rf.e72b942053571bb0316d80deecbd9990.jpg	roboflow_team128_v5_IMG_1996_jpg.rf.e72b942053571bb0316d80deecbd9990.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1996_jpg.rf.e72b942053571bb0316d80deecbd9990.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1997_jpg.rf.bcf8215149b161e2e00ee05e1849fee4.jpg	roboflow_team128_v5_IMG_1997_jpg.rf.bcf8215149b161e2e00ee05e1849fee4.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1997_jpg.rf.bcf8215149b161e2e00ee05e1849fee4.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1998_jpg.rf.622ee06a4c417dbfc5bff454cc1179a2.jpg	roboflow_team128_v5_IMG_1998_jpg.rf.622ee06a4c417dbfc5bff454cc1179a2.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1998_jpg.rf.622ee06a4c417dbfc5bff454cc1179a2.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1999_jpg.rf.9412d9c058c6d94e41e81fe529e0676c.jpg	roboflow_team128_v5_IMG_1999_jpg.rf.9412d9c058c6d94e41e81fe529e0676c.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1999_jpg.rf.9412d9c058c6d94e41e81fe529e0676c.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_2001_jpg.rf.e56fb44ae4868811d67f58cd130a828c.jpg	roboflow_team128_v5_IMG_2001_jpg.rf.e56fb44ae4868811d67f58cd130a828c.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_2001_jpg.rf.e56fb44ae4868811d67f58cd130a828c.jpg
train	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_2003_jpg.rf.73f74a0ee9f55278a14f1000241f48a3.jpg	roboflow_team128_v5_IMG_2003_jpg.rf.73f74a0ee9f55278a14f1000241f48a3.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_2003_jpg.rf.73f74a0ee9f55278a14f1000241f48a3.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_2005_jpg.rf.76305ae33e21ebd9ccb374504230df90.jpg	roboflow_team128_v5_IMG_2005_jpg.rf.76305ae33e21ebd9ccb374504230df90.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_2005_jpg.rf.76305ae33e21ebd9ccb374504230df90.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_2006_jpg.rf.0801ca2f2505d5925e0a6812a42f0294.jpg	roboflow_team128_v5_IMG_2006_jpg.rf.0801ca2f2505d5925e0a6812a42f0294.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_2006_jpg.rf.0801ca2f2505d5925e0a6812a42f0294.jpg
val	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0658_jpg.rf.bb3a013316d335158f0c900f4b8fd166.jpg	roboflow_team128_v5_IMG_0658_jpg.rf.bb3a013316d335158f0c900f4b8fd166.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0658_jpg.rf.bb3a013316d335158f0c900f4b8fd166.jpg
val	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1965_jpg.rf.08d856cb208ec65ca7b9c0d5f11c271b.jpg	roboflow_team128_v5_IMG_1965_jpg.rf.08d856cb208ec65ca7b9c0d5f11c271b.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1965_jpg.rf.08d856cb208ec65ca7b9c0d5f11c271b.jpg
val	roboflow_team128_v5	valid	roboflow_team128_v5_IMG_1977_jpg.rf.8e71c2b6affcafed1050eddb86b02b0d.jpg	roboflow_team128_v5_IMG_1977_jpg.rf.8e71c2b6affcafed1050eddb86b02b0d.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\valid\IMG_1977_jpg.rf.8e71c2b6affcafed1050eddb86b02b0d.jpg
val	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1987_jpg.rf.66b611db2dc7bc0ac6d361c3e5d67504.jpg	roboflow_team128_v5_IMG_1987_jpg.rf.66b611db2dc7bc0ac6d361c3e5d67504.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1987_jpg.rf.66b611db2dc7bc0ac6d361c3e5d67504.jpg
val	roboflow_team128_v5	test	roboflow_team128_v5_IMG_2004_jpg.rf.eb73940d8552660b56ea5ebfa81bcb34.jpg	roboflow_team128_v5_IMG_2004_jpg.rf.eb73940d8552660b56ea5ebfa81bcb34.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\test\IMG_2004_jpg.rf.eb73940d8552660b56ea5ebfa81bcb34.jpg
